start_time,end_time,time_taken
1628247724.9328935,1628247725.318272,0.3853785991668701
1628247726.1659257,1628247726.470517,0.30459117889404297
1628247727.2862842,1628247727.5860329,0.29974865913391113

,Avg.,0.3299061457316081
,Std. Dev.,0.0481015313373941
1628247742.749119,1628247743.0861235,0.3370044231414795
1628247743.8636816,1628247744.1952703,0.3315887451171875
1628247745.029602,1628247745.4846442,0.45504212379455566

,Avg.,0.3114201757896311
,Std. Dev.,0.1177283412528067
1628247765.146817,1628247766.396739,1.2499220371246338
1628247767.1637378,1628247768.1184087,0.9546709060668945
1628247768.9474726,1628247770.0871708,1.1396982669830322

,Avg.,0.4819077795026189
,Std. Dev.,0.38049088972123946
1628247831.4554358,1628247839.8162706,8.360834836959839
1628247840.6228404,1628247848.0578737,7.435033321380615
1628247848.9039114,1628247856.8978117,7.993900299072266

,Avg.,1.7176093477872572
,Std. Dev.,2.881133279865052
