start_time,end_time,time_taken
1628247737.257705,1628247737.6936748,0.43596982955932617
1628247739.0873487,1628247739.512958,0.4256093502044678
1628247740.9143794,1628247741.3419065,0.42752718925476074

,Avg.,0.4297021230061849
,Std. Dev.,0.005512044605491187
1628247757.8786676,1628247758.9805145,1.1018469333648682
1628247760.2794259,1628247761.3640597,1.0846338272094727
1628247762.729182,1628247763.8154957,1.0863137245178223

,Avg.,0.6246393777152992
,Std. Dev.,0.4119373565759127
1628247803.8480866,1628247811.6775026,7.829416036605835
1628247813.0517404,1628247820.9626148,7.910874366760254
1628247822.268312,1628247830.1468222,7.878510236740112

,Avg.,2.2809609535476776
,Std. Dev.,3.2039759569959863
1628248121.5270026,1628248198.8803527,77.3533501625061
1628248200.2261243,1628248277.2104077,76.98428344726562
1628248278.5302627,1628248356.8141146,78.28385186195374

,Avg.,14.875495265466052
,Std. Dev.,28.96420269092413
