CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.574219 1626357262.4507
MEM 21.746094 1626357262.5627
MEM 30.785156 1626357262.6707
MEM 31.839844 1626357262.7801
MEM 31.847656 1626357262.8883
MEM 32.152344 1626357262.9950
MEM 32.214844 1626357263.1066
MEM 32.214844 1626357263.2166
MEM 32.214844 1626357263.3270
MEM 32.277344 1626357263.4360
MEM 32.277344 1626357263.5439
MEM 32.277344 1626357263.6538
MEM 32.308594 1626357263.7632
MEM 32.351562 1626357263.8722
MEM 32.355469 1626357263.9811
MEM 32.355469 1626357264.0894
MEM 32.394531 1626357264.1967
MEM 32.476562 1626357264.3041
