CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.566406 1626357618.0408
MEM 19.953125 1626357618.1458
MEM 29.851562 1626357618.2578
MEM 30.945312 1626357618.3693
MEM 30.945312 1626357618.4783
MEM 30.945312 1626357618.5894
MEM 30.960938 1626357618.7006
MEM 30.972656 1626357618.8119
MEM 30.976562 1626357618.9233
MEM 30.976562 1626357619.0335
MEM 30.976562 1626357619.1416
MEM 30.976562 1626357619.2506
MEM 31.039062 1626357619.3590
MEM 31.039062 1626357619.4695
MEM 31.039062 1626357619.5786
MEM 31.039062 1626357619.6886
MEM 31.039062 1626357619.7966
MEM 31.039062 1626357619.9065
MEM 31.039062 1626357620.0156
MEM 31.039062 1626357620.1244
MEM 31.039062 1626357620.2343
MEM 31.039062 1626357620.3429
MEM 31.039062 1626357620.4520
MEM 31.039062 1626357620.5613
MEM 31.039062 1626357620.6710
MEM 31.039062 1626357620.7801
MEM 31.039062 1626357620.8895
MEM 31.039062 1626357620.9995
MEM 31.039062 1626357621.1095
MEM 31.039062 1626357621.2174
MEM 31.039062 1626357621.3275
MEM 31.039062 1626357621.4379
MEM 31.039062 1626357621.5476
MEM 31.039062 1626357621.6593
MEM 31.039062 1626357621.7683
MEM 31.039062 1626357621.8785
MEM 31.039062 1626357621.9892
MEM 31.039062 1626357622.0994
MEM 31.039062 1626357622.2093
MEM 31.039062 1626357622.3191
MEM 31.039062 1626357622.4285
MEM 31.039062 1626357622.5376
MEM 31.039062 1626357622.6480
MEM 31.039062 1626357622.7566
MEM 31.039062 1626357622.8680
MEM 31.039062 1626357622.9802
MEM 31.039062 1626357623.0915
MEM 31.039062 1626357623.2033
MEM 31.039062 1626357623.3148
MEM 31.039062 1626357623.4260
MEM 31.039062 1626357623.5366
MEM 31.039062 1626357623.6449
MEM 31.039062 1626357623.7529
MEM 31.039062 1626357623.8618
MEM 31.039062 1626357623.9699
MEM 31.039062 1626357624.0801
MEM 31.039062 1626357624.1912
MEM 31.039062 1626357624.3008
MEM 31.039062 1626357624.4087
