CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.562500 1626357715.4069
MEM 20.765625 1626357715.5189
MEM 30.375000 1626357715.6279
MEM 31.089844 1626357715.7358
MEM 31.089844 1626357715.8467
MEM 31.089844 1626357715.9528
MEM 31.222656 1626357716.0638
MEM 31.347656 1626357716.1730
MEM 31.488281 1626357716.2820
MEM 31.660156 1626357716.3922
MEM 31.847656 1626357716.5042
MEM 31.910156 1626357716.6160
MEM 32.097656 1626357716.7276
MEM 32.222656 1626357716.8375
MEM 32.472656 1626357716.9478
MEM 32.660156 1626357717.0573
MEM 32.753906 1626357717.1659
MEM 32.996094 1626357717.2757
MEM 33.242188 1626357717.3855
MEM 33.410156 1626357717.4942
MEM 33.472656 1626357717.6032
MEM 33.660156 1626357717.7134
MEM 33.910156 1626357717.8231
MEM 34.097656 1626357717.9338
MEM 34.347656 1626357718.0420
MEM 34.597656 1626357718.1519
MEM 34.847656 1626357718.2593
MEM 35.097656 1626357718.3696
MEM 35.222656 1626357718.4778
MEM 35.347656 1626357718.5887
MEM 35.519531 1626357718.6977
MEM 35.746094 1626357718.8056
MEM 35.972656 1626357718.9161
MEM 36.003906 1626357719.0256
MEM 36.160156 1626357719.1341
MEM 36.226562 1626357719.2433
MEM 36.515625 1626357719.3532
MEM 36.722656 1626357719.4626
MEM 36.980469 1626357719.5733
MEM 37.160156 1626357719.6805
MEM 37.347656 1626357719.7893
MEM 37.472656 1626357719.8988
MEM 37.722656 1626357720.0084
MEM 37.773438 1626357720.1174
MEM 38.097656 1626357720.2275
MEM 38.347656 1626357720.3360
MEM 38.410156 1626357720.4455
MEM 38.597656 1626357720.5557
MEM 38.847656 1626357720.6670
MEM 38.910156 1626357720.7764
MEM 39.238281 1626357720.8862
MEM 39.472656 1626357720.9981
MEM 39.597656 1626357721.1094
MEM 39.972656 1626357721.2204
MEM 40.222656 1626357721.3309
MEM 40.347656 1626357721.4422
MEM 40.472656 1626357721.5544
MEM 40.722656 1626357721.6659
MEM 40.910156 1626357721.7743
MEM 41.160156 1626357721.8838
MEM 41.472656 1626357721.9937
MEM 41.597656 1626357722.1057
MEM 41.777344 1626357722.2160
MEM 41.910156 1626357722.3257
MEM 42.097656 1626357722.4357
MEM 42.347656 1626357722.5470
MEM 42.472656 1626357722.6581
MEM 42.660156 1626357722.7671
MEM 42.847656 1626357722.8754
MEM 43.097656 1626357722.9851
MEM 43.164062 1626357723.0929
MEM 43.351562 1626357723.2024
MEM 43.531250 1626357723.3132
MEM 43.726562 1626357723.4247
MEM 43.917969 1626357723.5365
MEM 44.105469 1626357723.6473
MEM 44.289062 1626357723.7575
MEM 44.523438 1626357723.8695
MEM 44.929688 1626357723.9790
MEM 45.101562 1626357724.0876
MEM 45.285156 1626357724.1977
MEM 45.410156 1626357724.3079
MEM 45.789062 1626357724.4163
MEM 45.937500 1626357724.5261
MEM 46.105469 1626357724.6369
MEM 46.222656 1626357724.7472
MEM 46.796875 1626357724.8560
MEM 46.988281 1626357724.9640
MEM 47.113281 1626357725.0721
MEM 47.242188 1626357725.1828
MEM 47.492188 1626357725.2919
MEM 47.621094 1626357725.4019
MEM 47.812500 1626357725.5135
MEM 48.062500 1626357725.6213
MEM 48.253906 1626357725.7310
