CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.554688 1626350717.3454
MEM 19.218750 1626350717.4504
MEM 29.023438 1626350717.5604
MEM 30.832031 1626350717.6696
MEM 30.832031 1626350717.7797
MEM 30.832031 1626350717.8900
MEM 30.859375 1626350718.0006
MEM 30.863281 1626350718.1110
MEM 30.863281 1626350718.2205
MEM 30.863281 1626350718.3300
MEM 30.863281 1626350718.4385
MEM 30.863281 1626350718.5490
MEM 30.925781 1626350718.6578
MEM 30.925781 1626350718.7651
MEM 30.714844 1626350718.8771
