CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.554688 1626350694.7605
MEM 21.847656 1626350694.8755
MEM 30.929688 1626350694.9855
MEM 32.035156 1626350695.0926
MEM 32.039062 1626350695.2017
MEM 32.332031 1626350695.3134
MEM 32.410156 1626350695.4229
MEM 32.410156 1626350695.5329
MEM 32.410156 1626350695.6429
MEM 32.410156 1626350695.7525
MEM 32.472656 1626350695.8594
MEM 32.472656 1626350695.9681
MEM 32.472656 1626350696.0782
MEM 32.507812 1626350696.1883
MEM 32.621094 1626350696.2963
MEM 32.621094 1626350696.4056
MEM 32.621094 1626350696.5136
MEM 32.621094 1626350696.6230
MEM 32.683594 1626350696.7340
MEM 32.683594 1626350696.8440
MEM 32.683594 1626350696.9535
MEM 32.683594 1626350697.0608
MEM 32.746094 1626350697.1706
MEM 32.746094 1626350697.2800
MEM 32.746094 1626350697.3879
MEM 32.746094 1626350697.4972
MEM 32.781250 1626350697.6079
MEM 32.875000 1626350697.7157
MEM 32.875000 1626350697.8268
MEM 32.875000 1626350697.9342
MEM 32.875000 1626350698.0437
MEM 32.937500 1626350698.1533
MEM 32.937500 1626350698.2619
MEM 32.937500 1626350698.3704
MEM 32.937500 1626350698.4802
MEM 33.000000 1626350698.5884
MEM 33.000000 1626350698.6986
MEM 33.007812 1626350698.8080
MEM 33.011719 1626350698.9164
MEM 33.023438 1626350699.0248
MEM 33.058594 1626350699.1335
MEM 33.125000 1626350699.2415
MEM 33.125000 1626350699.3490
MEM 33.125000 1626350699.4579
MEM 33.187500 1626350699.5684
MEM 33.187500 1626350699.6780
MEM 33.250000 1626350699.7870
MEM 33.250000 1626350699.8966
MEM 33.250000 1626350700.0063
MEM 33.250000 1626350700.1160
MEM 33.257812 1626350700.2257
MEM 33.285156 1626350700.3341
MEM 33.292969 1626350700.4423
MEM 33.300781 1626350700.5500
MEM 33.375000 1626350700.6577
MEM 33.375000 1626350700.7687
MEM 33.375000 1626350700.8777
MEM 33.437500 1626350700.9887
MEM 33.437500 1626350701.0967
MEM 33.437500 1626350701.2057
MEM 33.500000 1626350701.3136
MEM 33.500000 1626350701.4230
MEM 33.500000 1626350701.5316
MEM 33.500000 1626350701.6417
MEM 33.503906 1626350701.7521
MEM 33.515625 1626350701.8595
MEM 33.519531 1626350701.9685
MEM 33.539062 1626350702.0790
MEM 33.625000 1626350702.1881
MEM 33.625000 1626350702.2979
MEM 33.625000 1626350702.4050
MEM 33.625000 1626350702.5138
MEM 33.687500 1626350702.6235
MEM 33.687500 1626350702.7302
MEM 33.687500 1626350702.8389
MEM 33.687500 1626350702.9473
MEM 33.750000 1626350703.0556
MEM 33.750000 1626350703.1644
MEM 33.773438 1626350703.2726
MEM 33.773438 1626350703.3809
MEM 33.789062 1626350703.4879
MEM 33.875000 1626350703.5962
MEM 33.875000 1626350703.7027
MEM 33.875000 1626350703.8113
MEM 33.875000 1626350703.9183
MEM 33.937500 1626350704.0275
MEM 33.937500 1626350704.1354
MEM 34.000000 1626350704.2445
MEM 34.000000 1626350704.3530
MEM 34.000000 1626350704.4630
MEM 34.000000 1626350704.5714
MEM 34.031250 1626350704.6793
MEM 34.039062 1626350704.7884
MEM 34.046875 1626350704.8981
MEM 34.125000 1626350705.0073
MEM 34.125000 1626350705.1141
MEM 34.125000 1626350705.2230
MEM 34.187500 1626350705.3312
MEM 34.187500 1626350705.4384
MEM 34.187500 1626350705.5477
MEM 34.250000 1626350705.6557
MEM 34.250000 1626350705.7624
MEM 34.250000 1626350705.8716
MEM 34.250000 1626350705.9805
MEM 34.265625 1626350706.0901
