CMDLINE c:\users\axelc\appdata\local\programs\python\python39\python.exe .\commands.py
MEM 1.558594 1626353105.0309
MEM 20.382812 1626353105.1429
MEM 30.371094 1626353105.2549
MEM 31.109375 1626353105.3667
MEM 31.109375 1626353105.4739
MEM 31.109375 1626353105.5829
MEM 31.242188 1626353105.6930
MEM 31.367188 1626353105.8036
MEM 31.621094 1626353105.9117
MEM 31.746094 1626353106.0221
MEM 31.933594 1626353106.1319
MEM 32.019531 1626353106.2395
MEM 32.269531 1626353106.3474
MEM 32.546875 1626353106.4544
MEM 32.816406 1626353106.5645
MEM 33.121094 1626353106.6762
MEM 33.246094 1626353106.7850
MEM 33.871094 1626353106.8938
MEM 34.121094 1626353107.0031
MEM 34.246094 1626353107.1146
MEM 34.433594 1626353107.2247
MEM 34.621094 1626353107.3335
MEM 34.855469 1626353107.4433
MEM 34.996094 1626353107.5534
MEM 35.257812 1626353107.6654
MEM 35.496094 1626353107.7764
MEM 35.933594 1626353107.8848
MEM 36.246094 1626353107.9937
MEM 36.496094 1626353108.1036
MEM 36.996094 1626353108.2129
MEM 37.183594 1626353108.3227
MEM 37.433594 1626353108.4341
MEM 37.871094 1626353108.5430
MEM 38.183594 1626353108.6509
MEM 38.433594 1626353108.7597
MEM 38.933594 1626353108.8702
